id,date,day,meal_type,expected_students,prepared_servings,consumed_servings,wasted_servings,waste_percentage,holiday_event,event_type
REC-001,2026-08-01,Saturday,Breakfast,310,320,305,15,4.7,No,None
REC-002,2026-08-01,Saturday,Lunch,380,410,375,35,8.5,No,None
REC-003,2026-08-01,Saturday,Dinner,340,350,335,15,4.3,No,None
REC-004,2026-08-02,Sunday,Breakfast,260,280,250,30,10.7,Yes,Holiday
REC-005,2026-08-02,Sunday,Lunch,320,360,310,50,13.9,Yes,Holiday
REC-006,2026-08-02,Sunday,Dinner,300,320,295,25,7.8,Yes,Holiday
REC-007,2026-08-03,Monday,Breakfast,420,435,418,17,3.9,No,None
REC-008,2026-08-03,Monday,Lunch,480,510,472,38,7.5,No,None
REC-009,2026-08-03,Monday,Dinner,440,450,432,18,4.0,No,None
REC-010,2026-08-04,Tuesday,Breakfast,415,425,410,15,3.5,No,None
REC-011,2026-08-04,Tuesday,Lunch,475,495,468,27,5.5,No,None
REC-012,2026-08-04,Tuesday,Dinner,430,440,424,16,3.6,No,None
REC-013,2026-08-05,Wednesday,Breakfast,410,420,405,15,3.6,No,None
REC-014,2026-08-05,Wednesday,Lunch,490,530,481,49,9.2,No,None
REC-015,2026-08-05,Wednesday,Dinner,445,460,438,22,4.8,No,None
REC-016,2026-08-06,Thursday,Breakfast,405,415,400,15,3.6,No,None
REC-017,2026-08-06,Thursday,Lunch,485,520,479,41,7.9,No,None
REC-018,2026-08-06,Thursday,Dinner,435,450,428,22,4.9,No,None
REC-019,2026-08-07,Friday,Breakfast,390,410,375,35,8.5,No,None
REC-020,2026-08-07,Friday,Lunch,460,510,435,75,14.7,No,None
REC-021,2026-08-07,Friday,Dinner,380,420,360,60,14.3,No,None
REC-022,2026-08-10,Monday,Breakfast,450,470,445,25,5.3,Yes,Examination
REC-023,2026-08-10,Monday,Lunch,520,550,512,38,6.9,Yes,Examination
REC-024,2026-08-10,Monday,Dinner,460,480,450,30,6.2,Yes,Examination
REC-025,2026-08-11,Tuesday,Breakfast,445,460,438,22,4.8,Yes,Examination
REC-026,2026-08-11,Tuesday,Lunch,515,540,505,35,6.5,Yes,Examination
REC-027,2026-08-11,Tuesday,Dinner,455,470,442,28,6.0,Yes,Examination
REC-028,2026-08-12,Wednesday,Breakfast,440,450,432,18,4.0,Yes,Examination
REC-029,2026-08-12,Wednesday,Lunch,510,535,498,37,6.9,Yes,Examination
REC-030,2026-08-12,Wednesday,Dinner,450,465,439,26,5.6,Yes,Examination
REC-031,2026-08-14,Friday,Breakfast,380,420,360,60,14.3,Yes,College Event
REC-032,2026-08-14,Friday,Lunch,550,600,540,60,10.0,Yes,College Event
REC-033,2026-08-14,Friday,Dinner,520,580,510,70,12.1,Yes,College Event
REC-034,2026-08-15,Saturday,Breakfast,350,380,330,50,13.2,Yes,Festival
REC-035,2026-08-15,Saturday,Lunch,490,540,460,80,14.8,Yes,Festival
REC-036,2026-08-15,Saturday,Dinner,450,500,425,75,15.0,Yes,Festival
REC-037,2026-08-17,Monday,Breakfast,425,435,420,15,3.4,No,None
REC-038,2026-08-17,Monday,Lunch,485,515,476,39,7.6,No,None
REC-039,2026-08-17,Monday,Dinner,440,450,431,19,4.2,No,None
REC-040,2026-08-18,Tuesday,Breakfast,420,430,415,15,3.5,No,None
REC-041,2026-08-18,Tuesday,Lunch,480,505,474,31,6.1,No,None
REC-042,2026-08-18,Tuesday,Dinner,435,445,428,17,3.8,No,None
REC-043,2026-08-19,Wednesday,Breakfast,415,425,410,15,3.5,No,None
REC-044,2026-08-19,Wednesday,Lunch,490,525,482,43,8.2,No,None
REC-045,2026-08-19,Wednesday,Dinner,440,455,432,23,5.1,No,None
REC-046,2026-08-20,Thursday,Breakfast,410,420,405,15,3.6,No,None
REC-047,2026-08-20,Thursday,Lunch,480,510,472,38,7.5,No,None
REC-048,2026-08-20,Thursday,Dinner,430,440,422,18,4.1,No,None
REC-049,2026-08-21,Friday,Breakfast,395,415,382,33,8.0,No,None
REC-050,2026-08-21,Friday,Lunch,465,515,440,75,14.6,No,None
REC-051,2026-08-21,Friday,Dinner,390,430,368,62,14.4,No,None
REC-052,2026-08-24,Monday,Breakfast,430,440,425,15,3.4,No,None
REC-053,2026-08-24,Monday,Lunch,495,520,488,32,6.2,No,None
REC-054,2026-08-24,Monday,Dinner,445,455,436,19,4.2,No,None
REC-055,2026-08-25,Tuesday,Breakfast,425,435,418,17,3.9,No,None
REC-056,2026-08-25,Tuesday,Lunch,485,510,477,33,6.5,No,None
REC-057,2026-08-25,Tuesday,Dinner,440,450,430,20,4.4,No,None
REC-058,2026-08-26,Wednesday,Breakfast,420,430,412,18,4.2,No,None
REC-059,2026-08-26,Wednesday,Lunch,490,520,481,39,7.5,No,None
REC-060,2026-08-26,Wednesday,Dinner,445,455,435,20,4.4,No,None
